State,Date,New Cases,7-Day Moving Avg,Historic Cases
United States,Jun  3 2020,23049,22404,0
United States,Jun  2 2020,21368,22271,0
United States,Jun  1 2020,16807,21447,0
United States,May 31 2020,20496,21655,0
United States,May 30 2020,24301,21806,0
United States,May 29 2020,24964,21340,0
United States,May 28 2020,25846,21590,0
United States,May 27 2020,22121,21647,0
United States,May 26 2020,15594,22168,0
United States,May 25 2020,18263,23042,0
United States,May 24 2020,21559,23946,0
United States,May 23 2020,21034,23630,0
United States,May 22 2020,26718,24339,0
United States,May 21 2020,26246,24482,0
United States,May 20 2020,25762,25002,0
United States,May 19 2020,21718,24695,0
United States,May 18 2020,24589,25120,0
United States,May 17 2020,19348,24374,0
United States,May 16 2020,25995,24647,0
United States,May 15 2020,27720,24659,0
United States,May 14 2020,29887,24821,0
United States,May 13 2020,23611,25121,0
United States,May 12 2020,24690,25252,0
United States,May 11 2020,19369,25083,0
United States,May 10 2020,21257,25353,0
United States,May  9 2020,26082,26359,0
United States,May  8 2020,28852,26623,0
United States,May  7 2020,31986,26814,0
United States,May  6 2020,24528,26838,0
United States,May  5 2020,23511,27462,0
United States,May  4 2020,21260,27474,0
United States,May  3 2020,28300,27896,0
United States,May  2 2020,27926,27850,0
United States,May  1 2020,30189,28639,0
United States,Apr 30 2020,32158,29183,0
United States,Apr 29 2020,28891,29245,0
United States,Apr 28 2020,23595,29592,0
United States,Apr 27 2020,24215,29803,0
United States,Apr 26 2020,27977,30092,0
United States,Apr 25 2020,33453,30086,0
United States,Apr 24 2020,33994,29267,0
United States,Apr 23 2020,32595,28756,0
United States,Apr 22 2020,31319,28611,0
United States,Apr 21 2020,25074,27819,0
United States,Apr 20 2020,26236,27873,0
United States,Apr 19 2020,27932,27722,0
United States,Apr 18 2020,27724,27666,0
United States,Apr 17 2020,30417,28350,0
United States,Apr 16 2020,31575,28576,0
United States,Apr 15 2020,25775,29049,0
United States,Apr 14 2020,25456,30164,0
United States,Apr 13 2020,25175,30826,0
United States,Apr 12 2020,27544,31311,0
United States,Apr 11 2020,32512,31281,0
United States,Apr 10 2020,31998,31283,0
United States,Apr  9 2020,34887,31244,0
United States,Apr  8 2020,33576,30570,0
United States,Apr  7 2020,30091,29868,0
United States,Apr  6 2020,28573,28874,0
United States,Apr  5 2020,27331,27896,0
United States,Apr  4 2020,32526,27048,0
United States,Apr  3 2020,31726,25377,0
United States,Apr  2 2020,30171,23802,0
United States,Apr  1 2020,28658,22267,0
United States,Mar 31 2020,23137,20293,0
United States,Mar 30 2020,21728,18741,0
United States,Mar 29 2020,21395,17266,0
United States,Mar 28 2020,20826,15872,0
United States,Mar 27 2020,20702,14332,0
United States,Mar 26 2020,19426,12558,0
United States,Mar 25 2020,14840,10812,0
United States,Mar 24 2020,12275,9563,0
United States,Mar 23 2020,11403,8386,0
United States,Mar 22 2020,11634,7174,0
United States,Mar 21 2020,10046,5923,0
United States,Mar 20 2020,8283,4748,0
United States,Mar 19 2020,7208,3759,0
United States,Mar 18 2020,6095,2893,0
United States,Mar 17 2020,4036,2146,0
United States,Mar 16 2020,2920,1666,0
United States,Mar 15 2020,2873,1334,0
United States,Mar 14 2020,1825,974,0
United States,Mar 13 2020,1357,751,0
United States,Mar 12 2020,1148,588,0
United States,Mar 11 2020,864,448,0
United States,Mar 10 2020,675,345,0
United States,Mar  9 2020,599,273,0
United States,Mar  8 2020,353,198,0
United States,Mar  7 2020,267,160,0
United States,Mar  6 2020,213,127,0
United States,Mar  5 2020,166,104,0
United States,Mar  4 2020,143,85,0
United States,Mar  3 2020,171,71,0
United States,Mar  2 2020,77,50,0
United States,Mar  1 2020,86,42,0
United States,Feb 29 2020,36,33,0
United States,Feb 28 2020,51,31,0
United States,Feb 27 2020,35,26,0
United States,Feb 26 2020,44,23,0
United States,Feb 25 2020,24,20,0
United States,Feb 24 2020,19,17,0
United States,Feb 23 2020,23,17,0
United States,Feb 22 2020,26,16,0
United States,Feb 21 2020,17,13,0
United States,Feb 20 2020,14,11,0
United States,Feb 19 2020,17,10,0
United States,Feb 18 2020,7,9,0
United States,Feb 17 2020,18,9,0
United States,Feb 16 2020,13,8,0
United States,Feb 15 2020,5,10,0
United States,Feb 14 2020,6,11,0
United States,Feb 13 2020,6,11,0
United States,Feb 12 2020,8,10,0
United States,Feb 11 2020,9,10,0
United States,Feb 10 2020,9,9,0
United States,Feb  9 2020,33,12,0
United States,Feb  8 2020,8,7,0
United States,Feb  7 2020,5,6,0
United States,Feb  6 2020,2,6,0
United States,Feb  5 2020,4,6,0
United States,Feb  4 2020,7,5,0
United States,Feb  3 2020,26,4,468
United States,Feb  2 2020,0,1,0
United States,Feb  1 2020,4,1,0
United States,Jan 31 2020,3,1,0
United States,Jan 30 2020,0,0,0
United States,Jan 29 2020,0,0,0
United States,Jan 28 2020,1,1,0
United States,Jan 27 2020,0,1,0
United States,Jan 26 2020,3,1,0
United States,Jan 25 2020,0,1,0
United States,Jan 24 2020,1,1,0
United States,Jan 23 2020,1,1,0
